dataset,grafovy_algoritmus,pociatocny_cielovy,priama_korelacia,nepriama_korelacia,sMAPE,sMAPE(y)
abalone,greedy,length_whole-weight,0.972632891,0.966944944,11.2013743,11.06438882
abalone,greedy+dfs,length_whole-weight,0.972632891,0.966944944,11.2013743,11.06438882
abalone,dfs,length_whole-weight,0.972632891,0.947329005,11.2013743,11.06778894
abalone,a_star,length_whole-weight,0.972632891,0.947329005,11.2013743,11.06778894
abalone,greedy,whole-weight_shucked-weight,0.977059618,0.977059618,9.458012152,9.458012152
abalone,greedy+dfs,whole-weight_shucked-weight,0.977059618,0.977059618,9.458012152,9.458012152
abalone,dfs,whole-weight_shucked-weight,0.977059618,0.948560153,9.458012152,11.03192827
abalone,a_star,whole-weight_shucked-weight,0.977059618,0.948560153,9.458012152,11.03192827
abalone,greedy,shell-weight_length,0.947926436,0.963496388,4.464598602,4.500234318
abalone,greedy+dfs,shell-weight_length,0.947926436,0.963496388,4.464598602,4.500234318
abalone,dfs,shell-weight_length,0.947926436,0.951318953,4.464598602,4.603654339
abalone,a_star,shell-weight_length,0.947926436,0.951318953,4.464598602,4.603654339
appliances-energy-prediction,dfs,T_out_T1,0.648701481,0.787989109,4.025194961,4.125463523
appliances-energy-prediction,a_star,T_out_T1,0.648701481,0.787989109,4.025194961,4.125463523
appliances-energy-prediction,greedy,RH_1_RH_9,0.755950254,0.876006472,4.786600986,4.810026549
appliances-energy-prediction,greedy+dfs,RH_1_RH_9,0.755950254,0.876006472,4.786600986,4.810026549
appliances-energy-prediction,dfs,RH_1_RH_9,0.755950254,0.827015541,4.786600986,4.849819636
appliances-energy-prediction,a_star,RH_1_RH_9,0.755950254,0.827015541,4.786600986,4.849819636
appliances-energy-prediction,greedy,T6_T9,0.6363537942762968,0.8659844983055829,5.78806190434969,5.897725046923299
appliances-energy-prediction,greedy+dfs,T6_T9,0.6363537942762968,0.8659844983055829,5.78806190434969,5.897725046923299
appliances-energy-prediction,dfs,T6_T9,0.6363537942762968,0.8123607367149357,5.78806190434969,5.938236017399459
appliances-energy-prediction,a_star,T6_T9,0.6363537942762968,0.8123607367149357,5.78806190434969,5.938236017399459
Real_Estate_Valuation,greedy,X5 latitude_X4 number of convenience stores,0.4294760933278855,0.6808442947342348,57.78249774121133,51.277686873079524
Real_Estate_Valuation,greedy+dfs,X5 latitude_X4 number of convenience stores,0.4294760933278855,0.6808442947342348,57.78249774121133,51.277686873079524
Real_Estate_Valuation,dfs,X5 latitude_X4 number of convenience stores,0.4294760933278855,0.6808442947342348,57.78249774121133,51.277686873079524
Real_Estate_Valuation,a_star,X5 latitude_X4 number of convenience stores,0.4294760933278855,0.6808442947342348,57.78249774121133,51.277686873079524
Real_Estate_Valuation,greedy,X3 distance to the nearest MRT station_Y house price of unit area,0.7759483354370685,0.7759483354370685,10.346785335718641,10.346785335718641
Real_Estate_Valuation,greedy+dfs,X3 distance to the nearest MRT station_Y house price of unit area,0.7759483354370685,0.7759483354370685,10.346785335718641,10.346785335718641
Real_Estate_Valuation,dfs,X3 distance to the nearest MRT station_Y house price of unit area,0.7759483354370685,0.6527493856669819,10.346785335718641,18.295687418875413
Real_Estate_Valuation,a_star,X3 distance to the nearest MRT station_Y house price of unit area,0.7759483354370685,0.6527493856669819,10.346785335718641,18.295687418875413
Real_Estate_Valuation,greedy,X4 number of convenience stores_Y house price of unit area,0.6173333077278149,0.7320568995216087,21.52602913132665,21.48351367991677
Real_Estate_Valuation,greedy+dfs,X4 number of convenience stores_Y house price of unit area,0.6173333077278149,0.7320568995216087,21.52602913132665,21.48351367991677
Real_Estate_Valuation,dfs,X4 number of convenience stores_Y house price of unit area,0.6173333077278149,0.7320568995216087,21.52602913132665,21.48351367991677
Real_Estate_Valuation,a_star,X4 number of convenience stores_Y house price of unit area,0.6173333077278149,0.7320568995216087,21.52602913132665,21.48351367991677
Heart_Disease_processed_Cleveland,dfs,age_num,0.24169585270129348,0.4713193420259156,146.04380209489977,145.24803297516925
Heart_Disease_processed_Cleveland,a_star,age_num,0.24169585270129348,0.4713193420259156,146.04380209489977,145.24803297516925
Heart_Disease_processed_Cleveland,greedy,cp_num,0.4869334788835544,0.4869334788835544,144.1896961123807,144.1896961123807
Heart_Disease_processed_Cleveland,greedy+dfs,cp_num,0.4869334788835544,0.4869334788835544,144.1896961123807,144.1896961123807
Heart_Disease_processed_Cleveland,dfs,cp_num,0.4869334788835544,0.46518299875946917,144.1896961123807,144.1897285506608
Heart_Disease_processed_Cleveland,a_star,cp_num,0.4869334788835544,0.46518299875946917,144.1896961123807,144.1897285506608
Heart_Disease_processed_Cleveland,greedy,thalach_cp,0.37556436814536326,0.4951444184820779,24.061729811833285,24.583110928238302
Heart_Disease_processed_Cleveland,greedy+dfs,thalach_cp,0.37556436814536326,0.4951444184820779,24.061729811833285,24.583110928238302
Heart_Disease_processed_Cleveland,dfs,thalach_cp,0.37556436814536326,0.47220693594762453,24.061729811833285,24.75075050272967
Heart_Disease_processed_Cleveland,a_star,thalach_cp,0.37556436814536326,0.47220693594762453,24.061729811833285,24.75075050272967
WEC_Perth_49,greedy,X1_Total_Power,0.4752132150197239,0.7616096155210711,1.9889290271381341,2.161893702753007
WEC_Perth_49,greedy+dfs,X1_Total_Power,0.4752132150197239,0.7616096155210711,1.9889290271381341,2.161893702753007
WEC_Perth_49,dfs,X1_Total_Power,0.4752132150197239,0.7014983769006784,1.9889290271381341,2.2581610025478507
WEC_Perth_49,a_star,X1_Total_Power,0.4752132150197239,0.7014983769006784,1.9889290271381341,2.2581610025478507
